language,url,date,crawled_from,label_combined,label_relevance,label_aid_sec,label_education,label_health,label_protection,label_food_sec
english, https://en.setopati.com/International/161555 ,2023-08-13 02:58:00.000,newsAPI,[],False,False,False,False,False,
english, https://en.setopati.com/International/162121 ,2023-11-27 03:04:00.000,newsAPI,[],False,False,False,False,False,
english, https://en.setopati.com/International/162131 ,2023-11-29 03:10:00.000,newsAPI,[],False,False,False,False,False,
english, https://en.setopati.com/International/162492 ,2024-01-30 03:21:25.000,newsAPI,['aid-sec'],True,True,False,False,False,False
french,http://bamada.net/base-aerienne-101-de-senou-fin-de-formation-de-280-elements-de-la-garde-nationale,2023-12-01 08:13:24.000,gdelt,[],False,False,False,False,False,False
french,http://bamada.net/labbezanga-le-commandant-de-la-zone-de-defense-n1-sur-le-terrain,2023-12-23 16:21:09.000,gdelt,[],False,False,False,False,False,False
french,http://bamada.net/mali-les-separatistes-touareg-rejettent-lannonce-dun-dialogue-inter-malien-pour-la-paix,2024-01-02 19:37:34.000,gdelt,[],False,False,False,False,False,False
english,http://bossip.com/1995906/elementary-school-teacher-in-georgia-arrested-for-performing-sex-acts-in-front-of-nineteen-8-year-old-children/,2021-02-09 21:56:59.000,newsAPI,['education'],True,False,True,False,False,
english,http://bossip.com/2024087/high-school-hate-crime-connecticut-student-arrested-for-racist-snapchat-post-asking-why-isnt-he-in-chains/,2021-05-16 12:21:35.000,newsAPI,[],False,False,False,False,False,
english,http://bossip.com/2170071/tennessee-school-resource-officer-resigns-after-viral-video-incident-where-he-pepper-sprayed-student/,2022-09-29 13:53:38.000,newsAPI,['education'],True,False,True,False,False,
english,http://bossip.com/2187427/juan-dixon-coppin-state-lawsuit/,2022-11-09 21:53:50.000,newsAPI,[],False,False,False,False,False,
english,http://chicagoreader.com/news-politics/ukrainians-in-chicago-reflect-on-a-year-of-full-scale-war/,2023-01-05 12:03:00.000,newsAPI,[],False,False,False,False,False,
english,http://chicagoreader.com/news-politics/university-chicago-unions/,2023-12-12 12:00:00.000,newsAPI,[],False,False,False,False,False,
english,http://edition.cnn.com/2009/WORLD/asiapcf/03/27/pakistan.mosque.bomb/index.html,2021-12-01 00:00:00.000,https://www.osac.gov/Content/Browse/News,[],False,False,False,False,False,
english,http://en.ce.cn/main/latest/202401/02/t20240102_38850736.shtml,2024-01-02 05:15:00.000,gdelt,[],False,False,False,False,False,False
english,http://en.people.cn/n3/2021/0218/c90000-9819635.html,2021-02-18 09:10:14.000,newsAPI,['education'],True,False,True,False,False,
english,http://en.people.cn/n3/2021/0302/c90000-9823855.html,2021-03-02 08:34:05.000,newsAPI,['education'],True,False,True,False,False,
english,http://en.people.cn/n3/2021/0325/c90000-9832418.html,2021-03-25 05:26:49.000,newsAPI,['aid-sec'],True,True,False,False,False,
english,http://en.people.cn/n3/2021/0531/c90000-9855917.html,2021-05-31 06:05:13.000,newsAPI,['education'],True,False,True,False,False,
english,http://en.people.cn/n3/2021/0623/c90000-9864194.html,2021-06-23 09:08:33.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2021/0807/c90000-9881382.html,2021-08-07 03:59:34.000,newsAPI,['aid-sec'],True,True,False,False,False,
english,http://en.people.cn/n3/2021/0828/c90000-9889297.html,2021-08-28 10:15:42.000,newsAPI,['education'],True,False,True,False,False,
english,http://en.people.cn/n3/2022/0510/c90000-10094368.html,2022-05-10 00:42:33.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0512/c90000-10095693.html,2022-05-12 02:56:31.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0601/c90000-10104135.html,2022-06-01 00:53:45.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0607/c90000-10106275.html,2022-06-07 01:45:26.000,newsAPI,['aid-sec'],True,True,False,False,False,
english,http://en.people.cn/n3/2022/0612/c90000-10108600.html,2022-06-12 07:20:25.000,newsAPI,['health'],True,False,False,True,False,
english,http://en.people.cn/n3/2022/0619/c90000-10111609.html,2022-06-19 03:40:07.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0623/c90000-10113581.html,2022-06-23 01:40:29.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0704/c90000-10118490.html,2022-07-04 02:12:07.000,newsAPI,['health'],True,False,False,True,False,
english,http://en.people.cn/n3/2022/0715/c90000-10123487.html,2022-07-15 02:08:47.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2022/0922/c90000-10150286.html,2022-09-22 01:10:19.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2023/0213/c90000-10206662.html,2023-02-13 01:16:59.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2023/0330/c90000-10229538.html,2023-03-30 06:11:17.000,newsAPI,[],False,False,False,False,False,
english,http://en.people.cn/n3/2023/1007/c90000-20080070.html,2023-10-07 02:37:24.000,newsAPI,[],False,False,False,False,False,
english,http://en.protothema.gr/one-refugee-injured-in-mytilene-after-knife-attack/,2021-03-22 08:03:47.000,newsAPI,['protection'],True,False,False,False,True,
english,http://en.protothema.gr/risk-of-covid-19-transmission-is-lower-in-museums-compared-to-other-public-places-research-suggests/,2021-03-01 12:14:45.000,newsAPI,[],False,False,False,False,False,
english,http://en.protothema.gr/turkish-lira-crashes-after-central-banker-ousted-by-erdogan/,2021-03-22 08:37:20.000,newsAPI,[],False,False,False,False,False,
english,http://english.ahram.org.eg/NewsContent/2/10/402511/World/Africa/DR-Congo-militia-kills-at-least--in-new-attack.aspx,2021-02-08 00:00:00.000,https://www.osac.gov/Content/Browse/News,[],False,False,False,False,False,
french,http://french.china.org.cn/foreign/txt/2023-12/02/content_116854501.htm,2023-12-02 18:45:00.000,gdelt,[],False,False,False,False,False,False
french,http://french.china.org.cn/foreign/txt/2024-01/10/content_116931395.htm,2024-01-10 05:30:00.000,gdelt,[],False,False,False,False,False,False
french,http://french.xinhuanet.com/20231226/7c3e95252df34d7e9ebe18df9d68757d/c.html,2023-12-26 02:30:00.000,gdelt,[],False,False,False,False,False,False
french,http://french.xinhuanet.com/20240203/e72cdd513d344faa9df537274998cd75/c.html,2024-02-04 05:00:00.000,gdelt,[],False,False,False,False,False,False
english,http://gothamist.com/news/brooklyn-teacher-killed-hit-and-run-while-crossing-deadly-greenpoint-roadway,2021-05-19 20:12:40.000,newsAPI,[],False,False,False,False,False,
english,http://gothamist.com/news/meet-18-year-old-new-yorker-helping-craft-us-climate-policy,2021-04-22 19:26:51.000,newsAPI,[],False,False,False,False,False,
english,http://gothamist.com/news/three-mayoral-candidates-commit-to-police-free-public-schools-heres-what-that-means,2021-03-31 15:43:45.000,newsAPI,[],False,False,False,False,False,
english,http://hyperallergic.com/645832/us-kids-gun-control-documentaries/,2021-05-16 20:12:00.000,newsAPI,[],False,False,False,False,False,
english,http://hyperallergic.com/659137/required-reading-535/,2021-06-26 04:06:00.000,newsAPI,[],False,False,False,False,False,
english,http://longreads.com/2022/09/01/fault-lines-los-angeles-high-school-abuse-atavist-magazine/,2022-09-01 10:00:33.000,newsAPI,[],False,False,False,False,False,
english,http://lovinmalta.com/lifestyle/health/covid-19/naxxar-sixth-form-goes-online-until-end-of-term-after-students-threaten-strike/,2021-03-09 11:45:35.000,newsAPI,[],False,False,False,False,False,
english,http://nymag.com/intelligencer/2023/06/affirmative-action-never-had-a-chance.html,2023-06-12 12:00:29.000,newsAPI,[],False,False,False,False,False,
english,http://nymag.com/intelligencer/2023/12/why-the-israel-hamas-war-may-be-a-turning-point-in-academia.html,2023-12-18 14:30:14.000,newsAPI,[],False,False,False,False,False,
english,http://nymag.com/intelligencer/article/gary-maynard-professor-arson-trial.html,2022-07-20 12:00:29.000,newsAPI,[],False,False,False,False,False,
english,http://onlysky.media/hemant-mehta/catholic-hospitals-are-wrecking-reproductive-health-care/,2022-10-11 13:26:49.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/06/03/brazil-fights-itself-climate-litigation-against-incoming-backfire/,2022-06-03 08:00:23.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/08/30/symposium-on-myanmar-and-international-indifference-the-slow-turning-wheels-of-justice-even-for-genocide/,2022-08-30 08:00:29.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/10/24/in-a-world-of-warners-be-like-elle/,2022-10-24 11:00:59.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/10/26/top-gun-maverick-international-law-empire-and-nostalgia/,2022-10-26 12:00:25.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/10/30/options-for-a-peace-settlement-for-ukraine-option-paper-xvi-war-crimes-crimes-against-humanity-and-genocide/,2022-10-30 09:00:05.000,newsAPI,[],False,False,False,False,False,
english,http://opiniojuris.org/2022/12/01/the-nexus-of-nuclear-security-and-pertinent-armed-conflicts-a-reflection-of-international-law-applicability-in-the-ukraine-russia-conflict/,2022-12-01 09:00:29.000,newsAPI,[],False,False,False,False,False,
english,http://outbreaknewstoday.com/bangladesh-reports-241-additional-dengue-hospitalizations-sunday-74447/,2021-09-20 00:00:00.000,https://www.osac.gov/Content/Browse/News,[],False,False,False,False,False,
english,http://rlsbb.ru/va-sound-times-advanced-club-house-2020/,2021-02-12 21:09:15.000,newsAPI,[],False,False,False,False,False,
english,http://saharareporters.com/2014/05/27/boko-haram-attacks-continue-borno-state-residents-are-fighting-back,2022-01-19 00:00:00.000,https://www.osac.gov/Content/Browse/News,[],False,False,False,False,False,
english,http://saharareporters.com/2021/10/13/nigerian-military-kills-scores-boko-haram-fighters-many-insurgents-invade-borno-town,2021-10-13 00:00:00.000,https://www.osac.gov/Content/Browse/News,[],False,False,False,False,False,
english,http://saharareporters.com/2022/02/04/terrorists-attack-security-task-force-camp-burn-buildings-ransack-armoury-niger-state,2022-02-07 00:00:00.000,https://www.osac.gov/Content/Browse/News,['education'],True,False,True,False,False,
french,http://sana.sy/fr/?p=311052,2023-12-12 08:00:00.000,gdelt,[],False,False,False,False,False,False
french,http://sana.sy/fr/?p=311345,2023-12-17 18:45:00.000,gdelt,[],False,False,False,False,False,False
french,http://sana.sy/fr/?p=312567,2024-01-10 12:45:00.000,gdelt,[],False,False,False,False,False,False
french,http://sana.sy/fr/?p=313350,2024-01-25 13:15:00.000,gdelt,[],False,False,False,False,False,False
french,http://sana.sy/fr/?p=313868,2024-02-03 18:45:00.000,gdelt,[],False,False,False,False,False,False
english,http://spacing.ca/toronto/2023/03/17/remembering-the-hoggs-hollow-disaster/,2023-03-16 18:41:49.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/01/01/fake-teen-doctor-arrested-for-fraud/,2021-01-01 17:59:57.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/01/20/worst-cooks-in-america-winner-charged-with-killing-foster-child/,2021-01-21 01:24:30.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/03/15/white-supremacists-3-years-in-prison/,2021-03-15 17:06:08.000,newsAPI,['education'],True,False,True,False,False,
english,http://thegrio.com/2021/04/15/harris-teacher-killed-drug-cartel-shootout/,2021-04-15 14:31:10.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/04/17/knoxville-police-student-shooting/,2021-04-17 20:48:05.000,newsAPI,['education'],True,False,True,False,False,
english,http://thegrio.com/2021/04/21/woman-intentionally-drives-into-black-teens/,2021-04-22 00:19:30.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/04/24/tony-collins-dropped-as-commissioner/,2021-04-24 16:37:16.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/04/29/new-mom-infant-daughter-killed-in-virginia-shootout/,2021-04-29 20:58:00.000,newsAPI,[],False,False,False,False,False,
english,http://thegrio.com/2021/06/03/virginia-tech-football-isimemen-etute-second-degree-murder/,2021-06-03 16:29:55.000,newsAPI,[],False,False,False,False,False,
english,http://theintercept.com/2023/11/17/congo-hrw-nyu-security-data/,2023-11-17 19:54:46.000,newsAPI,['aid-sec'],True,True,False,False,False,
english,http://theintercept.com/2024/01/22/columbia-university-palestine-protest-skunk/,2024-01-22 23:26:34.000,newsAPI,['education'],True,False,True,False,False,False
english,http://vt.co/entertainment/celebrity/greta-thunberg-expertly-hits-back-at-trolls-on-her-18th-birthday,2021-01-04 16:11:43.000,newsAPI,[],False,False,False,False,False,
